I10-C-2023-07-26__2020-07-03__09-40-43(1).JPG	0	
I10-C-2023-07-26__2020-07-03__09-40-44(2).JPG	0	
I10-C-2023-07-26__2020-07-03__09-40-45(3).JPG	0	
I10-C-2023-07-26__2020-07-15__05-48-52(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-48-53(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-48-54(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-51-58(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-51-58(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-51-59(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-55-08(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-55-09(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-55-10(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-00-10(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-00-11(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-00-12(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-03-08(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-03-09(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-03-10(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-14-57(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-14-58(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-14-59(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-20-40(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-20-41(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-20-42(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-25-45(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-25-46(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-25-46(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-26-49(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-26-50(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-26-51(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-27-54(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-27-55(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-27-55(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-28-51(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-28-52(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-28-53(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-31-04(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-31-05(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-31-06(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-33-22(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-33-23(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-33-24(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-34-42(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-34-43(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-34-44(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-38-47(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-38-48(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-38-48(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-53-23(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-53-23(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__06-53-24(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-00-04(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-00-05(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-00-06(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-04-44(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-04-45(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-04-46(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-07-18(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-07-18(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-07-19(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-12-32(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-12-33(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-12-34(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-23-35(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-23-36(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-23-37(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-24-39(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-24-40(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-24-40(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-28-35(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-28-36(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-28-37(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-30-09(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-30-10(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-30-11(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-32-00(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-32-01(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-32-02(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-35-13(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-35-14(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-35-14(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-37-51(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-37-52(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-37-53(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-54-46(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-54-47(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-54-48(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-58-24(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-58-25(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__07-58-26(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__08-03-39(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__08-03-40(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__08-03-41(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__08-08-24(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__08-08-25(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__08-08-26(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__08-17-03(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__08-17-04(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__08-17-05(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__08-18-01(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__08-18-02(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__08-18-03(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__17-43-34(1).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-15__17-43-35(2).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-15__17-43-36(3).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-19__16-46-45(1).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-19__16-46-46(2).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-19__16-46-47(3).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-20__02-13-09(1).JPG	0	
I10-C-2023-07-26__2020-07-20__02-13-10(2).JPG	0	
I10-C-2023-07-26__2020-07-20__02-13-11(3).JPG	0	
I10-C-2023-07-26__2020-07-21__20-42-18(1).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-21__20-42-19(2).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-21__20-42-20(3).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-22__15-22-41(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-22__15-22-42(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-22__15-22-43(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-26__20-41-06(1).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-26__20-41-07(2).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-26__20-41-08(3).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-26__20-42-26(1).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-26__20-42-27(2).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-26__20-42-28(3).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-28__00-09-49(1).JPG	1: other_animal	0	
I10-C-2023-07-26__2020-07-28__00-09-50(2).JPG	1: other_animal	0	
I10-C-2023-07-26__2020-07-28__00-09-51(3).JPG	1: other_animal	0	
I10-C-2023-07-26__2020-07-28__01-41-11(1).JPG	1: porcupine	0	
I10-C-2023-07-26__2020-07-28__01-41-12(2).JPG	1: porcupine	0	
I10-C-2023-07-26__2020-07-28__01-41-13(3).JPG	1: porcupine	0	
I10-C-2023-07-26__2020-07-30__16-02-34(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-30__16-02-35(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-30__16-02-36(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-30__16-09-46(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-30__16-09-47(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-30__16-09-48(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-30__16-13-02(1).JPG	0	
I10-C-2023-07-26__2020-07-30__16-13-03(2).JPG	0	
I10-C-2023-07-26__2020-07-30__16-13-04(3).JPG	0	
I10-C-2023-07-26__2020-07-30__16-29-42(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-30__16-29-43(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-30__16-29-44(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-31__13-18-41(1).JPG	0	
I10-C-2023-07-26__2020-07-31__13-18-41(2).JPG	0	
I10-C-2023-07-26__2020-07-31__13-18-42(3).JPG	0	
I10-C-2023-07-26__2020-07-31__15-20-39(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-31__15-20-40(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-31__15-20-41(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-31__15-42-44(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-31__15-42-45(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-31__15-42-46(3).JPG	0	
I10-C-2023-07-26__2020-08-01__15-18-01(1).JPG	1: duiker	0	
I10-C-2023-07-26__2020-08-01__15-18-02(2).JPG	1: duiker	0	
I10-C-2023-07-26__2020-08-01__15-18-03(3).JPG	1: duiker	0	
I10-C-2023-07-26__2020-08-02__10-35-55(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-35-56(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-35-57(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-36-52(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-36-53(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-36-54(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-38-07(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-38-08(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-38-09(3).JPG	0	
I10-C-2023-07-26__2020-08-02__10-39-37(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-39-38(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-39-39(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-42-01(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-42-02(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-42-03(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-47-22(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-47-23(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-47-24(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-54-53(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-54-54(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-54-55(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-55-56(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-55-57(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-02__10-55-58(3).JPG	0	
I10-C-2023-07-26__2020-08-03__13-03-03(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-03__13-03-04(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-03__13-03-05(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-07__19-00-14(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-08-07__19-00-15(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-08-07__19-00-16(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-08-08__12-21-20(1).JPG	0	
I10-C-2023-07-26__2020-08-08__12-21-21(2).JPG	0	
I10-C-2023-07-26__2020-08-08__12-21-22(3).JPG	0	
I10-C-2023-07-26__2020-08-09__09-30-40(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__09-30-41(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__09-30-42(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__15-41-08(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__15-41-09(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__15-41-10(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__15-47-49(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__15-47-50(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__15-47-51(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__15-48-58(1).JPG	0	
I10-C-2023-07-26__2020-08-09__15-48-59(2).JPG	0	
I10-C-2023-07-26__2020-08-09__15-49-00(1).JPG	0	
I10-C-2023-07-26__2020-08-09__15-52-28(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__15-52-29(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__15-52-30(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__15-54-41(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__15-54-42(2).JPG	0	
I10-C-2023-07-26__2020-08-09__15-54-43(3).JPG	0	
I10-C-2023-07-26__2020-08-09__15-58-18(1).JPG	0	
I10-C-2023-07-26__2020-08-09__15-58-19(2).JPG	0	
I10-C-2023-07-26__2020-08-09__15-58-20(3).JPG	0	
I10-C-2023-07-26__2020-08-09__15-59-26(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__15-59-27(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__15-59-28(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-01-43(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-01-44(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-01-45(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-03-47(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-03-48(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-03-49(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-05-07(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-05-08(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-05-09(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-06-09(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-06-10(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-06-11(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-07-05(1).JPG	3: baboon	0	
I10-C-2023-07-26__2020-08-09__16-07-06(2).JPG	3: baboon	0	
I10-C-2023-07-26__2020-08-09__16-07-07(3).JPG	3: baboon	0	
I10-C-2023-07-26__2020-08-09__16-08-06(1).JPG	3: baboon	0	
I10-C-2023-07-26__2020-08-09__16-08-07(2).JPG	3: baboon	0	
I10-C-2023-07-26__2020-08-09__16-08-08(3).JPG	4: baboon	0	
I10-C-2023-07-26__2020-08-09__16-10-39(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-10-40(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-10-41(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-12-15(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-12-16(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-12-17(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-13-22(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-13-23(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-13-24(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-14-20(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-14-21(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-14-22(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-17-03(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-17-04(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-17-05(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-18-04(1).JPG	2: baboon	0	
I10-C-2023-07-26__2020-08-09__16-18-05(2).JPG	2: baboon	0	
I10-C-2023-07-26__2020-08-09__16-18-05(3).JPG	2: baboon	0	
I10-C-2023-07-26__2020-08-09__16-22-02(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-22-03(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-22-04(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-24-38(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-24-39(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-24-40(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-09__16-26-17(1).JPG	2: baboon	0	
I10-C-2023-07-26__2020-08-09__16-26-18(2).JPG	2: baboon	0	
I10-C-2023-07-26__2020-08-09__16-26-19(3).JPG	2: baboon	0	
I10-C-2023-07-26__2020-08-09__16-27-38(1).JPG	2: baboon	0	
I10-C-2023-07-26__2020-08-09__16-27-39(2).JPG	2: baboon	0	
I10-C-2023-07-26__2020-08-09__16-27-40(3).JPG	2: baboon	0	
I10-C-2023-07-26__2020-08-09__16-30-51(1).JPG	3: baboon	0	
I10-C-2023-07-26__2020-08-09__16-30-52(2).JPG	3: baboon	0	
I10-C-2023-07-26__2020-08-09__16-30-53(3).JPG	3: baboon	0	
I10-C-2023-07-26__2020-08-09__16-31-47(1).JPG	5: baboon	0	
I10-C-2023-07-26__2020-08-09__16-31-48(2).JPG	5: baboon	0	
I10-C-2023-07-26__2020-08-09__16-31-49(3).JPG	5: baboon	0	
I10-C-2023-07-26__2020-08-10__11-30-19(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-10__11-30-20(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-10__11-30-21(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-08-10__17-38-08(1).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-08-10__17-38-09(2).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-08-10__17-38-10(3).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-08-10__18-04-37(1).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-08-10__18-04-38(2).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-08-10__18-04-39(3).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-08-10__18-57-42(1).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-08-10__18-57-43(2).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-08-10__18-57-44(3).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-08-12__03-50-28(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-08-12__03-50-29(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-08-12__03-50-30(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-08-12__05-26-22(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-08-12__05-26-23(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-08-12__05-26-24(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-08-12__09-49-10(1).JPG	0	
I10-C-2023-07-26__2020-08-12__09-49-11(2).JPG	0	
I10-C-2023-07-26__2020-08-12__09-49-12(3).JPG	0	
I10-C-2023-07-26__2020-08-16__11-49-01(1).JPG	0	
I10-C-2023-07-26__2020-08-16__11-49-02(2).JPG	0	
